Name,Total level rank,Total level,Total level xp,Attack rank,Attack level,Attack xp,Defence rank,Defence level,Defence xp,Strength rank,Strength level,Strength xp,Hitpoints rank,Hitpoints level,Hitpoints xp,Ranged rank,Ranged level,Ranged xp,Prayer rank,Prayer level,Prayer xp,Magic rank,Magic level,Magic xp,Cooking rank,Cooking level,Cooking xp,Woodcutting rank,Woodcutting level,Woodcutting xp,Fletching rank,Fletching level,Fletching xp,Fishing rank,Fishing level,Fishing xp,Firemaking rank,Firemaking level,Firemaking xp,Crafting rank,Crafting level,Crafting xp,Smithing rank,Smithing level,Smithing xp,Mining rank,Mining level,Mining xp,Herblore rank,Herblore level,Herblore xp,Agility rank,Agility level,Agility xp,Thieving rank,Thieving level,Thieving xp,Slayer rank,Slayer level,Slayer xp,Farming rank,Farming level,Farming xp,Runecraft rank,Runecraft level,Runecraft xp,Hunter rank,Hunter level,Hunter xp,Construction rank,Construction level,Construction xp,League points rank,League points,BH Hunter rank,BH Hunter points,BH Rogue rank,BH Rogue points,All clues rank,All clues KC,Beginner clues rank,Beginner clues KC,Easy clues rank,Easy clues KC,Medium clues rank,Medium clues KC,Hard clues rank,Hard clues KC,Elite clues rank,Elite clues KC,Master clues rank,Master clues KC,LMS rank,LMS points,SW Zeal rank,SW points,Abyssal Sire rank,Abyssal Sire KC,Alchemical Hydra rank,Alchemical Hydra KC,Barrows Chests rank,Barrows Chests KC,Bryophyta rank,Bryophyta KC,Callisto rank,Callisto KC,Cerberus rank,Cerberus KC,Chambers of Xeric rank,Chambers of Xeric KC,Chambers of Xeric: Challenge Mode rank,Chambers of Xeric: Challenge Mode KC,Chaos Elemental rank,Chaos Elemental KC,Chaos Fanatic rank,Chaos Fanatic KC,Commander Zilyana rank,Commander Zilyana KC,Corporeal Beast rank,Corporeal Beast KC,Crazy Archaelogist rank,Crazy Archaelogist KC,Dagannoth Prime rank,Dagannoth Prime KC,Dagannoth Rex rank,Dagannoth Rex KC,Dagannoth Supreme rank,Dagannoth Supreme KC,Deranged Archaelogist rank,Deranged Archaelogist KC,General Graardor rank,General Graardor KC,Giant Mole rank,Giant Mole KC,Grotesque Guardians rank,Grotesque Guardians KC,Hespori rank,Hespori KC,Kalphite Queen rank,Kalphite Queen KC,King Black Dragon rank,King Black Dragon KC,Kraken rank,Kraken KC,Kree'Arra rank,Kree'Arra KC,K'ril Tsutsaroth rank,K'ril Tsutsaroth KC,Mimic rank,Mimic KC,Nightmare rank,Nightmare KC,Obor rank,Obor KC,Sarachnis rank,Sarachnis KC,Scorpia rank,Scorpia KC,Skotizo rank,Skotizo KC,The Gauntlet rank,The Gauntlet KC,The Corrupted Gauntlet rank,The Corrupted Gauntlet KC,Theatre of Blood rank,Theatre of Blood KC,Thermonuclear Smoke Devil rank,Thermonuclear Smoke Devil KC,TzKal-Zuk rank,TzKal-Zuk KC,TzTok-Jad rank,TzTok-Jad KC,Venenatis rank,Venenatis KC,Vet'ion rank,Vet'ion KC,Vorkath rank,Vorkath KC,Wintertodt rank,Wintertodt KC,Zalcano rank,Zalcano KC,Zulrah rank,Zulrah KC
Buono 91,2625,2277,757528975,21663,99,26328054,18307,99,26327469,20820,99,27314352,5549,99,80351329,2827,99,106201760,7599,99,13037512,1765,99,53437679,9050,99,25383567,242,99,58201282,1073,99,25304960,4551,99,25266820,2475,99,25007740,1391,99,25000493,1280,99,18322709,2265,99,25089878,3760,99,13297954,2049,99,25009101,649,99,25743210,2066,99,54408674,2205,99,25901374,6461,99,13036316,2279,99,26114834,2136,99,13441908,798,59450,-1,-1,-1,-1,8586,67,12460,16,11040,10,18479,5,4456,27,3472,9,-1,-1,-1,-1,-1,-1,6932,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,301,300,176,304,222,301,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,256,1989,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1784,100,-1,-1,-1,-1,-1,-1,610,30,-1,-1,-1,-1,1621,250,-1,-1,481,250,761,505
Ingus,135,2277,1288480834,194,99,200000000,342,99,122606354,89,99,200000000,216,99,200000000,8819,99,41906431,163,99,26553189,2343,99,45687658,13444,99,25013690,8856,99,25008508,1596,99,25117657,19589,99,13507770,2296,99,25010679,1309,99,25002653,779,99,25017368,9271,99,14227554,492,99,25062895,6712,99,13107358,1795,99,25005504,103,99,122309234,3782,99,25164191,2911,99,13048547,3601,99,25101982,498,99,25021612,799,59450,-1,-1,-1,-1,5803,96,94065,2,55691,2,18390,5,1101,61,778,26,-1,-1,-1,-1,-1,-1,617,500,-1,-1,13802,100,-1,-1,-1,-1,299,850,-1,-1,-1,-1,-1,-1,-1,-1,17517,114,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,33595,121,13094,50,775,250,-1,-1,-1,-1,-1,-1,865,1500,1540,359,1902,500,-1,-1,66,655,2141,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,115,211,26,3396,-1,-1,988,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Tahtivasara,1973,2277,814870505,1143,99,108976749,476,99,109044372,1996,99,110157576,1887,99,123603934,17052,99,23328737,7551,99,13037798,9537,99,25021657,9042,99,25384842,29727,99,13071288,7941,99,13202892,27458,99,13066644,10735,99,13067148,5137,99,13549627,5276,99,13107778,14366,99,13074912,5968,99,13091136,5644,99,13350286,4110,99,15237118,619,99,77431319,12861,99,13239478,1855,99,13082886,3928,99,25056552,1391,99,13685776,800,59450,-1,-1,-1,-1,282,550,252,202,826,102,629,81,289,108,167,55,157,2,-1,-1,-1,-1,837,349,-1,-1,-1,-1,555,48,-1,-1,29161,82,-1,-1,-1,-1,-1,-1,-1,-1,19509,100,-1,-1,-1,-1,3080,58,3682,58,3199,59,-1,-1,44207,52,9199,103,-1,-1,-1,-1,-1,-1,-1,-1,2499,1068,12269,62,24717,69,-1,-1,-1,-1,64,69,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1489,250,-1,-1,-1,-1,-1,-1
Feelsu,1442,2277,872759744,17197,99,29556201,17174,99,26879766,20950,99,27206813,1580,99,131217462,706,99,200000000,148,99,26842530,5455,99,30276195,7483,99,25936420,9016,99,25005981,357,99,26280508,6980,99,25016680,1617,99,25044532,229,99,25716969,1855,99,14967135,15896,99,13039550,4698,99,13180501,4097,99,14546538,1046,99,25174199,623,99,77218958,1962,99,26089358,5198,99,13039155,3581,99,25104605,139,99,25419688,801,59430,-1,-1,-1,-1,1368,263,540,148,9328,12,2634,39,2568,37,745,27,-1,-1,-1,-1,-1,-1,2167,250,-1,-1,9095,123,98,86,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,183,301,228,300,214,301,-1,-1,-1,-1,-1,-1,1012,250,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2531,103,1201,18,-1,-1,-1,-1,-1,-1,-1,-1,1675,100,2022,67,-1,-1,-1,-1,967,30,-1,-1,-1,-1,183,755,-1,-1,3905,62,350,606
Wombatstefan,3075,2277,718339093,2573,99,76980976,2133,99,62242654,1739,99,118495026,3274,99,101130743,12597,99,30203424,3360,99,13361094,7776,99,26023431,24330,99,15294893,13774,99,17844275,1803,99,25074916,24730,99,13135942,9971,99,13084306,10941,99,13064530,6465,99,13055781,8699,99,14532256,3327,99,13384786,2784,99,18427110,12371,99,13169221,4324,99,41303618,1114,99,27370741,7249,99,13034467,3912,99,25059083,6460,99,13065820,802,59420,-1,-1,-1,-1,3077,160,1027,99,3485,38,17308,5,15667,11,4945,7,-1,-1,-1,-1,-1,-1,1221,279,-1,-1,9437,121,11287,10,-1,-1,19547,136,-1,-1,-1,-1,-1,-1,-1,-1,1061,531,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14984,251,104,764,274,251,-1,-1,-1,-1,-1,-1,6485,750,7723,138,20502,93,-1,-1,1785,134,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,945,103,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
BlondeHalf,1153,2277,916314943,1290,99,103387270,1585,99,69205976,2522,99,97404711,1682,99,128882420,10607,99,35246097,8315,99,13034533,3195,99,39127567,12975,99,25023952,3486,99,29287565,1538,99,25131386,8441,99,25001246,2234,99,25011882,827,99,25038608,5951,99,13073457,1941,99,25260061,1246,99,18543376,940,99,30396565,168,99,29657797,1622,99,58902616,646,99,29005363,5993,99,13037478,432,99,32535571,232,99,25119446,803,59420,-1,-1,-1,-1,3037,162,5582,31,2340,60,6381,18,2835,35,1573,17,797,1,-1,-1,-1,-1,1681,251,-1,-1,215,447,-1,-1,-1,-1,18102,144,-1,-1,-1,-1,-1,-1,-1,-1,20175,95,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31911,131,921,750,1477,134,-1,-1,-1,-1,-1,-1,513,1702,1089,413,1849,500,-1,-1,-1,-1,871,21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,545,710,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Mr Benners,216,2277,1204453050,547,99,147788834,237,99,147665888,607,99,194696593,312,99,200000000,6602,99,54822804,1073,99,18088939,5029,99,31408689,13392,99,25014636,2436,99,32720605,2739,99,25006927,5300,99,25125203,1904,99,25022833,1237,99,25004492,3031,99,13577396,945,99,28105625,2429,99,13772198,404,99,37013438,2159,99,25002401,1777,99,57058565,1663,99,26394180,2643,99,13051982,4595,99,25020275,5372,99,13090547,804,59410,-1,-1,-1,-1,32,1418,649,134,21,500,2,600,359,102,55,79,52,3,-1,-1,-1,-1,993,310,-1,-1,3307,181,-1,-1,-1,-1,3182,411,-1,-1,-1,-1,-1,-1,-1,-1,12546,165,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15381,250,2006,750,1085,250,-1,-1,-1,-1,-1,-1,5597,757,5765,180,2002,500,-1,-1,3881,69,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3445,279,-1,-1,156,32,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Lord Richie,1108,2277,922215885,17281,99,29488924,2983,99,54410981,18832,99,29011903,609,99,174245394,323,99,200000000,155,99,26700824,9421,99,25036317,10943,99,25096986,4793,99,26927287,2699,99,25007654,6050,99,25057128,1361,99,25074006,1787,99,17115987,625,99,25052168,2511,99,25034083,2594,99,13670827,3217,99,16424389,3874,99,15610857,1079,99,66196791,4344,99,25039993,6718,99,13035722,3082,99,25286993,1383,99,13690671,805,59410,-1,-1,-1,-1,1702,233,2176,59,825,102,3850,31,3349,32,3652,9,-1,-1,-1,-1,-1,-1,2595,250,-1,-1,7620,133,2332,26,-1,-1,17423,148,-1,-1,-1,-1,-1,-1,-1,-1,22349,77,-1,-1,-1,-1,3074,58,4022,53,-1,-1,-1,-1,3308,500,2097,750,636,250,-1,-1,-1,-1,-1,-1,-1,-1,3457,250,4980,290,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2191,15,-1,-1,-1,-1,90,926,-1,-1,-1,-1,-1,-1
Flooggeer,3974,2277,639791486,5047,99,56811618,2414,99,59203512,3110,99,86244596,5839,99,78369742,25114,99,14859722,4210,99,13185855,6605,99,27771991,4346,99,30139319,27716,99,13163991,3635,99,18215100,19428,99,13534230,5223,99,14459202,2206,99,15572336,752,99,25021681,7665,99,15225572,2404,99,13784118,1856,99,25049119,12766,99,13142608,10781,99,26825610,1159,99,27288692,5596,99,13038336,3158,99,25249244,1484,99,13635292,806,59410,-1,-1,-1,-1,114,827,128,252,54,312,256,123,658,80,151,56,41,4,-1,-1,-1,-1,2257,250,-1,-1,-1,-1,-1,-1,-1,-1,4570,358,-1,-1,-1,-1,-1,-1,-1,-1,1816,500,-1,-1,-1,-1,2088,79,-1,-1,1626,96,-1,-1,8594,328,544,750,-1,-1,-1,-1,-1,-1,-1,-1,6012,751,-1,-1,20798,91,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1449,427,-1,-1,-1,-1,-1,-1,-1,-1,832,400,-1,-1,-1,-1,-1,-1
Zero_Fallen,1491,2277,866885670,38833,99,16631577,22441,99,25050183,18718,99,29124045,467,99,187397650,92,99,200000000,6196,99,13061354,5245,99,30808238,7110,99,26159077,19206,99,14779776,3371,99,23923614,17377,99,13959962,12142,99,13049038,1577,99,19357658,1925,99,14768964,8609,99,14575034,2509,99,13717479,1058,99,29045500,2115,99,25002635,674,99,74982772,1228,99,27110219,4627,99,13040326,1298,99,28248070,5309,99,13092499,807,59400,-1,-1,-1,-1,2214,198,1512,75,7102,16,978,63,2630,36,4042,8,-1,-1,-1,-1,-1,-1,382,500,-1,-1,-1,-1,4950,17,-1,-1,1921,500,-1,-1,-1,-1,-1,-1,-1,-1,7073,251,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,24499,177,2955,500,-1,-1,-1,-1,-1,-1,-1,-1,3478,909,11621,71,13006,150,-1,-1,-1,-1,287,37,-1,-1,-1,-1,-1,-1,-1,-1,1807,100,-1,-1,-1,-1,-1,-1,2392,15,-1,-1,-1,-1,-1,-1,-1,-1,2339,96,502,550
June,809,2277,975049013,20376,99,27084328,20152,99,25569450,20086,99,27905825,3509,99,98443126,1148,99,182292471,1771,99,14775361,5755,99,29565335,2418,99,37972715,658,99,45486540,1154,99,25262271,13605,99,15541776,2700,99,25005304,744,99,25053268,765,99,25019783,3719,99,23557730,493,99,25061873,2381,99,21864247,102,99,32972609,1300,99,63016702,5,99,119744622,974,99,13281636,25,99,57401381,3368,99,13170660,808,59400,-1,-1,-1,-1,5525,100,2537,53,10880,10,10657,9,5729,23,7031,5,-1,-1,-1,-1,-1,-1,346,500,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,92,500,-1,-1,234,2018,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,42,310,-1,-1,-1,-1,-1,-1,632,30,-1,-1,-1,-1,-1,-1,-1,-1,813,213,1452,500
SiennaEftych,362,2277,1110749239,863,99,123198027,3814,99,49425518,138,99,200000000,257,99,200000000,7182,99,50830387,4157,99,13194081,2577,99,43612466,4496,99,29745112,1080,99,39992102,1691,99,25099838,8151,99,25002364,1768,99,25031191,1110,99,25010518,5063,99,13122391,1986,99,25233616,2842,99,13543592,6308,99,13162242,818,99,25411525,1512,99,60283730,2787,99,25568209,183,99,25008716,298,99,34238200,401,99,25035414,809,59400,-1,-1,-1,-1,41657,15,76461,3,41364,3,18683,5,50415,2,18911,2,-1,-1,-1,-1,-1,-1,2228,250,-1,-1,383,375,-1,-1,-1,-1,5176,338,-1,-1,-1,-1,-1,-1,-1,-1,13275,156,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10207,303,-1,-1,567,250,-1,-1,-1,-1,-1,-1,2580,1052,607,500,24373,70,-1,-1,503,287,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,118,210,-1,-1,316,5,2237,15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Gonasterone,2814,2277,741598761,6639,99,49330101,4150,99,47677097,2268,99,103150612,5080,99,83834364,10991,99,34123733,3561,99,13306464,9793,99,25001592,5326,99,28162806,9363,99,25003154,3624,99,18331686,7832,99,25004072,2718,99,25005102,1350,99,25001580,4511,99,13183469,1997,99,25225741,3144,99,13432938,730,99,32637710,2510,99,25001108,2140,99,53837587,9740,99,14022547,5177,99,13039186,282,99,34491524,1243,99,13794588,810,59400,-1,-1,-1,-1,12195,49,25855,9,47804,2,5332,22,14377,12,9142,4,-1,-1,-1,-1,-1,-1,6944,100,-1,-1,-1,-1,-1,-1,-1,-1,12602,204,-1,-1,-1,-1,-1,-1,-1,-1,10527,193,-1,-1,-1,-1,2140,78,2550,78,2213,80,-1,-1,20281,208,644,750,-1,-1,-1,-1,-1,-1,-1,-1,6743,750,745,500,10753,177,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1691,396,-1,-1,498,30,-1,-1,-1,-1,341,750,-1,-1,-1,-1,-1,-1
Runescapego1,1295,2277,895070463,11369,99,37052748,7734,99,36876071,585,99,197492273,1338,99,138435084,14249,99,26996021,3388,99,13350157,3138,99,39467812,10761,99,25112240,4908,99,26779791,674,99,25592094,6588,99,25028408,8615,99,13143185,635,99,25094687,166,99,26743247,15437,99,13043548,6133,99,13081966,336,99,38924069,1893,99,25004121,1642,99,58637987,4107,99,25086828,2667,99,13051616,2635,99,25662652,142,99,25413858,811,59400,-1,-1,-1,-1,4217,125,3650,42,7133,16,3439,33,3896,29,7095,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,178,301,211,300,160,307,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,816,1520,-1,-1,-1,-1,-1,-1,-1,-1,1444,16,-1,-1,-1,-1,-1,-1,-1,-1,3048,59,-1,-1,20357,67,-1,-1,1311,30,-1,-1,-1,-1,1060,301,-1,-1,221,305,8128,82
lm H o T,3860,2277,650387086,25879,99,25031039,23846,99,25001443,33255,99,19513408,9990,99,58929108,3623,99,90108188,788,99,25002044,7865,99,25926452,12177,99,25045032,8114,99,25032605,2529,99,25011866,4494,99,25283729,2088,99,25015562,577,99,25119118,1148,99,20709103,16870,99,13035408,723,99,25015272,1066,99,28911774,2139,99,25002521,10192,99,27508808,2782,99,25569718,2133,99,13064418,2038,99,26545218,728,99,25005252,812,59400,-1,-1,-1,-1,8898,65,11915,16,68828,1,5240,22,9038,17,3586,9,-1,-1,-1,-1,-1,-1,2389,250,-1,-1,-1,-1,5004,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,279,300,287,300,301,300,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3338,932,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1596,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,163,762,-1,-1,480,250,1786,500
RC is Awful,1719,2277,840948841,608,99,142494404,20452,99,25477320,14040,99,35029080,2328,99,115051480,13383,99,28522402,7770,99,13036617,3874,99,35616858,9753,99,25247383,7244,99,25138763,819,99,25474227,1393,99,37841399,1965,99,25019835,174,99,26080162,459,99,25176774,1143,99,27180459,2375,99,13806060,1426,99,26187163,1098,99,25140187,953,99,68498931,1118,99,27366156,637,99,13660983,1096,99,28833331,299,99,25068867,813,59400,-1,-1,-1,-1,3091,160,2232,58,6935,17,2635,39,2674,36,3257,10,-1,-1,-1,-1,-1,-1,2434,250,-1,-1,-1,-1,1466,32,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,179,274,-1,-1,4368,815,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13119,119,-1,-1,1343,30,-1,-1,-1,-1,-1,-1,-1,-1,78,500,4411,250
Vexxaferrum,1959,2277,815792781,24473,99,25222783,23691,99,25002732,26068,99,25016172,518,99,181782762,593,99,200000000,2333,99,13925427,3282,99,38628486,4896,99,28954156,18088,99,15207852,2074,99,25035498,24546,99,13141670,8123,99,13180083,314,99,25438809,2020,99,14546693,16376,99,13036697,4504,99,13199919,2828,99,18142748,6484,99,13927697,6318,99,34480045,2020,99,26043933,1727,99,13101904,4964,99,25005135,1274,99,13771580,814,59400,-1,-1,-1,-1,1338,266,11972,16,871,100,957,64,1219,57,685,28,1068,1,-1,-1,-1,-1,1563,255,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,519,171,603,167,567,168,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7058,750,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1619,100,-1,-1,2406,344,-1,-1,886,30,-1,-1,-1,-1,821,405,-1,-1,727,250,1846,500
Dry Vaporeon,2387,2277,778084333,26682,99,25006610,23308,99,25006493,26858,99,25001450,3695,99,96243288,938,99,200000000,7666,99,13037180,6666,99,27669186,7121,99,26151234,6614,99,25339996,3194,99,25001101,18231,99,13763748,11940,99,13050882,934,99,25021916,218,99,26023992,7210,99,15603538,5354,99,13131506,415,99,36888434,2035,99,25003019,3553,99,44899376,4286,99,25051894,5583,99,13038358,3573,99,25105992,7931,99,13045140,815,59400,-1,-1,-1,-1,10115,58,29391,8,92975,1,31267,3,3553,31,1901,15,-1,-1,-1,-1,-1,-1,1721,251,-1,-1,-1,-1,-1,-1,-1,-1,12829,201,-1,-1,-1,-1,-1,-1,-1,-1,12060,171,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1980,511,319,751,-1,-1,-1,-1,-1,-1,-1,-1,3978,851,2340,301,24288,71,-1,-1,-1,-1,3186,11,-1,-1,-1,-1,-1,-1,-1,-1,110,251,-1,-1,-1,-1,-1,-1,203,31,-1,-1,-1,-1,-1,-1,-1,-1,32,501,926,501
Hanjob,1365,2277,882238245,26230,99,25015422,22220,99,25072301,24756,99,25201721,1002,99,150800622,146,99,200000000,685,99,25010485,9078,99,25123461,13185,99,25018852,9894,99,25000468,583,99,25702745,22169,99,13253910,2828,99,25004282,1272,99,25003691,210,99,26150514,16087,99,13038193,4558,99,13194670,3291,99,16184788,1836,99,25004866,467,99,83183042,1334,99,26933440,6875,99,13035328,3077,99,25293108,596,99,25012336,816,59380,-1,-1,-1,-1,7929,72,6049,29,39165,3,42966,2,3123,33,6955,5,-1,-1,-1,-1,-1,-1,5893,100,-1,-1,-1,-1,-1,-1,289,124,-1,-1,-1,-1,-1,-1,254,118,1380,60,-1,-1,-1,-1,558,128,-1,-1,-1,-1,-1,-1,937,51,-1,-1,-1,-1,-1,-1,-1,-1,111,500,110,397,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,344,141,-1,-1,-1,-1,3612,45,-1,-1,-1,-1,-1,-1,872,30,277,94,-1,-1,-1,-1,-1,-1,26,502,817,502
Justorr,488,2277,1063050372,18891,99,28139823,548,99,103393623,17843,99,29999940,116,99,200000000,12749,99,29882228,348,99,25161473,32,99,200000000,1633,99,42769146,27523,99,13177858,2430,99,25014463,7744,99,25004646,7784,99,13216302,947,99,25020933,1207,99,19439088,12574,99,13224233,4555,99,13194702,4545,99,14092397,166,99,29680893,85,99,126288533,1023,99,27591599,1704,99,13105305,431,99,32543806,4728,99,13109381,817,59370,-1,-1,-1,-1,145,724,1644,71,17,501,1797,47,631,82,1052,22,857,1,-1,-1,-1,-1,2418,250,-1,-1,-1,-1,899,40,-1,-1,7974,269,-1,-1,-1,-1,-1,-1,897,91,11166,183,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,22607,190,2611,504,-1,-1,-1,-1,-1,-1,105,420,143,2230,3543,250,11323,170,-1,-1,-1,-1,-1,-1,-1,-1,511,107,-1,-1,-1,-1,-1,-1,-1,-1,11616,129,-1,-1,-1,-1,115,197,105,126,-1,-1,-1,-1,-1,-1,-1,-1
Twistie,502,2277,1057590181,1596,99,94753891,761,99,90006080,1011,99,154600855,992,99,151143744,8032,99,45646980,1591,99,15216264,4807,99,32126825,11706,99,25061258,3492,99,29271949,1282,99,25211176,6056,99,25056441,2467,99,25007865,408,99,25274888,819,99,25014562,1488,99,26017674,2406,99,13783431,84,99,48487472,563,99,25987363,488,99,82217294,728,99,28588137,431,99,15273520,1102,99,28815083,443,99,25027429,818,59370,-1,-1,-1,-1,1948,214,766,122,4152,32,5577,21,4928,26,2341,13,-1,-1,-1,-1,-1,-1,5726,102,-1,-1,9571,120,1307,34,-1,-1,13961,185,-1,-1,-1,-1,-1,-1,-1,-1,8206,233,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3112,500,1200,750,5128,50,-1,-1,-1,-1,-1,-1,7305,750,1989,323,5131,285,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13579,116,-1,-1,1222,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
wutzit,3018,2277,723580727,3511,99,67205928,2445,99,58950713,4156,99,73761389,4638,99,87287270,14429,99,26719820,843,99,23141234,9327,99,25052769,9242,99,25348831,7482,99,25093384,1726,99,25091637,7492,99,25007350,2420,99,25008344,2824,99,14627557,3370,99,13426101,1329,99,26451151,1363,99,17150590,389,99,37343934,7813,99,13659844,16333,99,21424346,3989,99,25111135,4966,99,13039620,1141,99,28674234,773,99,25003546,819,59360,-1,-1,-1,-1,1649,237,1242,86,2191,64,2593,39,4705,26,1001,22,-1,-1,-1,-1,-1,-1,8493,50,-1,-1,-1,-1,-1,-1,-1,-1,21888,124,-1,-1,-1,-1,-1,-1,-1,-1,11181,183,-1,-1,-1,-1,1114,114,2959,71,1155,116,-1,-1,2592,500,818,750,-1,-1,-1,-1,-1,-1,-1,-1,12686,356,3242,258,4578,303,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18312,86,-1,-1,-1,-1,-1,-1,-1,-1,313,750,-1,-1,-1,-1,-1,-1
Paul 0,234,2277,1194157067,1393,99,100219497,593,99,99601169,1153,99,145656496,1469,99,134533727,12721,99,29939269,109,99,27922402,3810,99,35933532,4066,99,30872446,173,99,66197353,883,99,25430331,238,99,112235478,1380,99,25070551,297,99,25472907,395,99,25281663,143,99,47325547,77,99,26800029,1951,99,25018287,2472,99,25001188,684,99,74651403,141,99,44663633,926,99,13308281,1397,99,27945379,288,99,25076499,820,59360,-1,-1,-1,-1,1582,243,4404,37,841,101,3839,31,1503,51,950,23,-1,-1,-1,-1,-1,-1,4651,126,-1,-1,-1,-1,7049,14,-1,-1,14764,175,-1,-1,-1,-1,-1,-1,-1,-1,12571,164,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,29894,143,3028,500,-1,-1,-1,-1,-1,-1,-1,-1,2982,992,11992,66,1799,500,-1,-1,2138,118,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
